variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
EXT,ice modeled,0 or 1,y,y,,,,,,,,,,,,,,,,,,,,,,,
ALB,"Shortwave flux weighted surface albedo, or 1 if no SW",0-1,,y,,,,,,,,,,,,,,,,,,,,,,,
BHEAT,ocean to ice heat flux,W/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
BMELT,bottom surface melting energy flux,W/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
BSNK,frozen water local bottom sink,kg/(m^2*yr),,y,,,,,,,,,,,,,,,,,,,,,,,
CALVING,frozen runoff,kg/(m^2*s),,y,,,,,,,,,,,,,,,,,,,,,,,
CALVING_HFLX,frozen runoff sensible heat flux,W/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
CN,ice concentration,0-1,,y,,,,,,,,,,,,,,,,,,,,,,,
E2MELT,heat needed to melt ice,J/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
EXT_MIN,ice modeled,0 or 1,,y,,,,,,,,,,,,,,,,,,,,,,,
EXT_MAX,ice modeled,0 or 1,,y,,,,,,,,,,,,,,,,,,,,,,,
FA_X,Air stress on ice on C-grid - x component,Pa,,y,,,,,,,,,,,,,,,,,,,,,,,
FA_Y,Air stress on ice on C-grid - y component,Pa,,y,,,,,,,,,,,,,,,,,,,,,,,
FI_X,ice internal stress - x component,Pa,,y,,,,,,,,,,,,,,,,,,,,,,,
FI_Y,ice internal stress - y component,Pa,,y,,,,,,,,,,,,,,,,,,,,,,,
FRAZIL,energy flux of frazil formation,W/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
IX_TRANS,x-direction ice transport,kg/s,,y,,,,,,,,,,,,,,,,,,,,,,,
IY_TRANS,y-direction ice transport,kg/s,,y,,,,,,,,,,,,,,,,,,,,,,,
LSNK,frozen water local sink,kg/(m^2*yr),,y,,,,,,,,,,,,,,,,,,,,,,,
LSRC,frozen water local source,kg/(m^2*yr),,y,,,,,,,,,,,,,,,,,,,,,,,
SALTF,ice to ocean salt flux,kg/(m^2*s),,y,,,,,,,,,,,,,,,,,,,,,,,
SNOWFL,rate of snow fall,kg/(m^2*s),,y,,,,,,,,,,,,,,,,,,,,,,,
SN2IC,rate of snow to ice conversion,kg/(m^2*s),,y,,,,,,,,,,,,,,,,,,,,,,,
TMELT,upper surface melting energy flux,W/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
TSN,snow layer temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
T1,ice layer 1 temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
T2,ice layer 2 temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
T3,ice layer 3 temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
T4,ice layer 4 temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
XPRT,frozen water transport convergence,kg/(m^2*yr),,y,,,,,,,,,,,,,,,,,,,,,,,
siu,ice velocity - x component,m/s,,y,,,,,,,,,,,,,,,,,,,,,,,
siv,ice velocity - y component,m/s,,y,,,,,,,,,,,,,,,,,,,,,,,
sispeed,ice speed,m/s,,y,,,,,,,,,,,,,,,,,,,,,,,
STRENGTH_hf,ice strength,Pa*m,,y,,,,,,,,,,,,,,,,,,,,,,,
sitimefrac,time fraction of ice cover,0-1,,y,,,,,,,,,,,,,,,,,,,,,,,
sitemptop,surface temperature,C,,y,,,,,,,,,,,,,,,,,,,,,,,
siconc,ice concentration,0-1,,y,,,,,,,,,,,,,,,,,,,,,,,
sisnconc,snow concentration,0-1,,y,,,,,,,,,,,,,,,,,,,,,,,
simass,ice mass,kg/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
sisnmass,snow mass,kg/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
sisnthick,snow thickness,m-snow,,y,,,,,,,,,,,,,,,,,,,,,,,
sithick,ice thickness,m-ice,,y,,,,,,,,,,,,,,,,,,,,,,,
sivol,ice volume,m-ice,,y,,,,,,,,,,,,,,,,,,,,,,,
MIB,ice + snow + bergs mass,kg/m^2,,y,,,,,,,,,,,,,,,,,,,,,,,
CELL_AREA,cell area,sphere,,,y,,,,,,,,,,,,,,,,,,,,,,
COSROT,"COSROT,SINROT points east",N/A,,,y,,,,,,,,,,,,,,,,,,,,,,
GEOLAT,latitude,degrees,,,y,,,,,,,,,,,,,,,,,,,,,,
GEOLON,longitude,degrees,,,y,,,,,,,,,,,,,,,,,,,,,,
SINROT,"-SINROT,COSROT points north",N/A,,,y,,,,,,,,,,,,,,,,,,,,,,
volcello,Ocean grid-cell volume,m3,,,,y,y,,,,,,,y,,,,,y,,,,y,,,,
pbo,Sea Water Pressure at Sea Floor,Pa,,,,y,,,,,,,,,,,,,,,y,,,,,,
masscello,Mass per unit area of liquid ocean grid cell,kg m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
thkcello,Cell Thickness,m,,,,y,,,,,,,,,,,,,,,,,,,,,
